run_id,paired_group,campaign,data_origin,kem_level,variant,model,target_prr,mean_bad_burst,forced_loss,seed,forced_loss_validation,forced_loss_application,precondition_not_reached,targeted_test_reached,raw_log_path,raw_log_sha256,log_size_bytes,log_line_count,parse_status,run_success,result_class
A-kem512-gilbert-prr0p50-L10-rep07-seed200007-v1,A-kem512-gilbert-prr0p50-L10-rep07-seed200007,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200007,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep07-seed200007-v1/cooja.log,97715e89277c74337a4f1fa255d1a352b2928f7817efe23173dff808d0ef8e61,8736,84,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep07-seed200007-v2,A-kem512-gilbert-prr0p50-L10-rep07-seed200007,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200007,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep07-seed200007-v2/cooja.log,d9f4ff903f842aca76131f17c9a6aaa3eae701e3b6760caf973b1ea85dfe9882,8970,86,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep08-seed200008-v1,A-kem512-gilbert-prr0p50-L10-rep08-seed200008,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200008,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep08-seed200008-v1/cooja.log,b3f973353846904d45150b4d797b859125c39bc8c17f6383c1c31c67c7eb96ab,12587,127,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep08-seed200008-v2,A-kem512-gilbert-prr0p50-L10-rep08-seed200008,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200008,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep08-seed200008-v2/cooja.log,80c09614b54ff00059fcd98d04556b043285b8bc0211bec2fb5cb0a9cc0adc76,12821,129,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep09-seed200009-v1,A-kem512-gilbert-prr0p50-L10-rep09-seed200009,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200009,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep09-seed200009-v1/cooja.log,9aac8b1e7859ba833c05b1dbdc4ab2174d746c7a4dccf6f44a476616c462c1c0,12990,131,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep09-seed200009-v2,A-kem512-gilbert-prr0p50-L10-rep09-seed200009,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200009,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep09-seed200009-v2/cooja.log,618fd4843ae661e89f1f1d489be295e2a82063ffbfa102a5a7b25ac72583eda4,13224,133,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep10-seed200010-v1,A-kem512-gilbert-prr0p50-L10-rep10-seed200010,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200010,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep10-seed200010-v1/cooja.log,a4a9369c75654287e6a93cfc22a291604ced20724eda3584d45106d95f410a26,8589,82,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep10-seed200010-v2,A-kem512-gilbert-prr0p50-L10-rep10-seed200010,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200010,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep10-seed200010-v2/cooja.log,090c34cc086df99741a829d8aebd871f52e8b9480d4dc07469f7911db8bb18f6,8823,84,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep11-seed200011-v1,A-kem512-gilbert-prr0p50-L10-rep11-seed200011,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200011,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep11-seed200011-v1/cooja.log,1c8fbb35012e9103640350945b0ac0fcb5f99ecf74f5c60233ef5cea4f63b9d8,11737,118,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep11-seed200011-v2,A-kem512-gilbert-prr0p50-L10-rep11-seed200011,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200011,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep11-seed200011-v2/cooja.log,cbf4684549c05323d1c50c4ea08915c6978440d0809d6d2f7005c8fad39ea6d7,11971,120,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep12-seed200012-v1,A-kem512-gilbert-prr0p50-L10-rep12-seed200012,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200012,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep12-seed200012-v1/cooja.log,5b84111f3209ba4feea417c43ddc44d22601e25cfd5c2dfe013738be07fefc6f,8702,83,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep12-seed200012-v2,A-kem512-gilbert-prr0p50-L10-rep12-seed200012,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200012,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep12-seed200012-v2/cooja.log,6ffc790a0f757970f38d36c5b5eea96f1615597c567442bc7621b04a24cadba6,8936,85,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep13-seed200013-v1,A-kem512-gilbert-prr0p50-L10-rep13-seed200013,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200013,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep13-seed200013-v1/cooja.log,e6bf59dec4b9c548315327456deae70d74122db187ecf64c98981f784671a803,8466,81,success,0,FAILED_PROTOCOL
